,addr,busiNm,powerType,stat,statNm
155,서울특별시 강남구 개포로 621,환경부,급속(200kW동시),2,sh서울주택도시공사
156,서울특별시 강남구 개포로 621,환경부,급속(200kW동시),2,sh서울주택도시공사
157,서울특별시 강동구 성내로 25,환경부,급속(200kW동시),2,강동구청
158,서울특별시 강동구 성내로 25,환경부,급속(200kW동시),2,강동구청
159,서울특별시 금천구 시흥대로 391,환경부,급속(200kW동시),2,홈플러스 금천점
160,서울특별시 금천구 시흥대로 391,환경부,급속(200kW동시),2,홈플러스 금천점
161,서울특별시 도봉구 도봉동 341-1,환경부,급속(200kW동시),3,도봉산환승주차장
162,서울특별시 도봉구 도봉동 341-1,환경부,급속(200kW동시),2,도봉산환승주차장
163,서울특별시 도봉구 마들로 656,환경부,급속(200kW동시),2,도봉구청
164,서울특별시 도봉구 마들로 656,환경부,급속(200kW동시),2,도봉구청
165,서울특별시 성동구 고산자로 26길 6,환경부,급속(200kW동시),2,마장축산물시장 서문 공영주차장
166,서울특별시 성동구 고산자로 26길 6,환경부,급속(200kW동시),2,마장축산물시장 서문 공영주차장
167,서울특별시 동대문구 약령중앙로 26,환경부,급속(200kW동시),2,서울약령시 공영주차장
168,서울특별시 동대문구 약령중앙로 26,환경부,급속(200kW동시),2,서울약령시 공영주차장
169,서울특별시 영등포구 선유로 138,환경부,급속(100kW멀티),2,롯데마트 서울양평점
170,서울특별시 영등포구 선유로 138,환경부,급속(100kW멀티),2,롯데마트 서울양평점
171,서울특별시 도봉구 마들로 797,환경부,급속(100kW멀티),2,도봉기적의도서관
172,서울특별시 도봉구 마들로 797,환경부,급속(100kW멀티),2,도봉기적의도서관
173,서울특별시 은평구 진관동 66-30,환경부,급속(200kW동시),2,구파발광역환승센터 주차장
174,서울특별시 은평구 진관동 66-30,환경부,급속(200kW동시),2,구파발광역환승센터 주차장
175,서울특별시 종로구 새문안로 55,환경부,급속(200kW동시),2,서울역사박물관
176,서울특별시 종로구 새문안로 55,환경부,급속(200kW동시),2,서울역사박물관
177,서울특별시 양천구 남부순환로 88길 5-7,환경부,급속(200kW동시),2,신정3동 넓은들 민원센터
178,서울특별시 양천구 남부순환로 88길 5-7,환경부,급속(200kW동시),2,신정3동 넓은들 민원센터
179,서울특별시 성동구 용답동 4-1,환경부,급속(200kW동시),2,용답동 공영주차장
180,서울특별시 성동구 용답동 4-1,환경부,급속(200kW동시),2,용답동 공영주차장
181,서울특별시 마포구 마포대로1길 9,환경부,급속(400kW동시),2,마포공영주차장
182,서울특별시 마포구 마포대로1길 9,환경부,급속(400kW동시),9,마포공영주차장
183,서울특별시 마포구 마포대로1길 9,환경부,급속(400kW동시),2,마포공영주차장
